"1,1717.575472,1.075471698,2419063.321,Dormant Customer"
"2,1084.833333,2.833333333,28023250.5,Typical Customer"
"3,303,11,83664066.67,Superstar"
"4,1213.777778,3,13698100.94,Everyday Shopper"
"5,850,7.5,49723587.5,Golden Customer"
"6,1199.836364,1.745454545,6537798.582,Occational Customer"
