"158,10162,2549,1,515500,1"
"159,10163,2098,1,3791750,1"
"160,10164,2133,4,11607550,4"
"161,10165,1790,3,10445500,4"
"162,10166,57,1,1502000,1"
"163,10167,85,1,5459500,6"
"164,10168,87,1,2961950,1"
"165,10169,58,1,3350000,1"
"166,10170,86,2,14935000,4"
"167,10171,117,1,4940000,6"
"168,10172,29,1,6800000,6"
"169,10173,60,1,5870000,6"
"170,10174,88,4,20117750,4"
"171,10175,119,1,3113750,1"
"172,10176,120,1,2003250,1"
"173,10177,90,1,1455000,1"
"174,10178,121,1,1345250,1"
"175,10179,122,1,3070250,1"
"176,10180,123,1,1625000,1"
"177,10181,478,1,4199000,1"
"178,10182,483,1,6358000,6"
"179,10183,422,1,1104000,1"
"180,10184,481,1,5678000,6"
"181,10185,423,1,11742000,4"
"182,10186,451,1,1700000,1"
"183,10187,482,1,3455000,1"
"184,10188,303,1,5964750,6"
"185,10189,394,1,7352687,6"
"186,10190,395,1,1032920,1"
"187,10191,454,1,3785600,1"
"188,10192,722,1,4425000,6"
"189,10193,723,1,3466500,1"
"190,10194,815,1,3717800,1"
